"seed","method","status","assignment_mode","uses_alignment","uses_position","fit_runtime_sec","match_runtime_sec","matcher_retained_mb","hits1","matched_hits1","mrr","coverage","candidate_edges","candidate_cap","dense_pairwise_allocated","correspondence_read_during_fit_or_match","error"
7214,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.359000000000002,0.244999999999997,0.01904296875,0.16,0.194331983805668,0.16,0.823333333333333,9600,32,FALSE,FALSE,NA
7214,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.359000000000002,0.245999999999995,0.019775390625,0.183333333333333,0.183333333333333,0.183333333333333,1,9600,32,FALSE,FALSE,NA
7214,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.359000000000002,NA,NA,0.0233333333333333,0.0233333333333333,0.0701079009949285,1,30000,100,FALSE,FALSE,NA
7214,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.323999999999998,NA,NA,0,0,0.00373250496779909,0.04,30000,100,FALSE,TRUE,NA
7214,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0229999999999961,NA,NA,0.00333333333333333,0.00333333333333333,0.0166849981322321,1,30000,100,FALSE,FALSE,NA
7214,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0330000000000013,NA,NA,0.00666666666666667,0.00666666666666667,0.0404014458463159,1,30000,100,FALSE,FALSE,NA
7214,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0480000000000018,NA,NA,0.0133333333333333,0.0133333333333333,0.0407931196737386,1,30000,100,FALSE,FALSE,NA
7214,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00200000000000244,NA,0.2,0.2,0.351889056671847,1,30000,100,FALSE,FALSE,NA
7215,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.357999999999997,0.244,0.0186386108398438,0.0666666666666667,0.0966183574879227,0.0666666666666667,0.69,9600,32,FALSE,FALSE,NA
7215,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.357999999999997,0.245000000000005,0.0191574096679688,0.19,0.208791208791209,0.19,0.91,9600,32,FALSE,FALSE,NA
7215,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.357999999999997,0.239999999999995,0.0199661254882812,0.153333333333333,0.153333333333333,0.153333333333333,1,9600,32,FALSE,FALSE,NA
7215,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.357999999999997,NA,NA,0.0366666666666667,0.0366666666666667,0.0869201514489035,1,30000,100,FALSE,FALSE,NA
7215,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.440000000000005,NA,NA,0,0,0.00582404462009725,0.04,30000,100,FALSE,TRUE,NA
7215,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0249999999999986,NA,NA,0,0,0.0117487872926428,1,30000,100,FALSE,FALSE,NA
7215,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0370000000000061,NA,NA,0,0,0.0126212750793815,1,30000,100,FALSE,FALSE,NA
7215,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0489999999999995,NA,NA,0,0,0.0142594591688292,1,30000,100,FALSE,FALSE,NA
7215,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00200000000000244,NA,0.18,0.18,0.340387186985958,1,30000,100,FALSE,FALSE,NA
